Using device: cuda
Start training with 22849352 number of parameters
Iteration 180: Allocated: 876.96 MB, Reserved: 12408.00 MB
Iteration 181: Allocated: 926.61 MB, Reserved: 12408.00 MB
Iteration 182: Allocated: 947.24 MB, Reserved: 12408.00 MB
Iteration 183: Allocated: 908.30 MB, Reserved: 12408.00 MB
Iteration 184: Allocated: 956.07 MB, Reserved: 12408.00 MB
Iteration 185: Allocated: 923.53 MB, Reserved: 12408.00 MB
Iteration 186: Allocated: 922.09 MB, Reserved: 12408.00 MB
Iteration 187: Allocated: 879.36 MB, Reserved: 12408.00 MB
Iteration 188: Allocated: 869.35 MB, Reserved: 12408.00 MB
Iteration 189: Allocated: 815.69 MB, Reserved: 12408.00 MB
Iteration 190: Allocated: 910.84 MB, Reserved: 12408.00 MB
Iteration 191: Allocated: 916.98 MB, Reserved: 12408.00 MB
Iteration 192: Allocated: 867.00 MB, Reserved: 12408.00 MB
Iteration 193: Allocated: 912.11 MB, Reserved: 12408.00 MB
Iteration 194: Allocated: 870.98 MB, Reserved: 12408.00 MB
Iteration 195: Allocated: 870.22 MB, Reserved: 12408.00 MB
Iteration 196: Allocated: 868.51 MB, Reserved: 12408.00 MB
Iteration 197: Allocated: 827.87 MB, Reserved: 12408.00 MB
Iteration 198: Allocated: 746.27 MB, Reserved: 12408.00 MB
Iteration 199: Allocated: 890.54 MB, Reserved: 12408.00 MB
Iteration 200: Allocated: 924.45 MB, Reserved: 12408.00 MB
Iteration 201: Allocated: 877.05 MB, Reserved: 12408.00 MB
Iteration 202: Allocated: 893.37 MB, Reserved: 12408.00 MB
Iteration 203: Allocated: 902.86 MB, Reserved: 12408.00 MB
Iteration 204: Allocated: 949.47 MB, Reserved: 12408.00 MB
Iteration 205: Allocated: 875.62 MB, Reserved: 12408.00 MB
Iteration 206: Allocated: 866.94 MB, Reserved: 12408.00 MB
Iteration 207: Allocated: 842.92 MB, Reserved: 12408.00 MB
Iteration 208: Allocated: 844.87 MB, Reserved: 12408.00 MB
Iteration 209: Allocated: 878.92 MB, Reserved: 12408.00 MB
Iteration 210: Allocated: 861.01 MB, Reserved: 12408.00 MB
Iteration 211: Allocated: 905.93 MB, Reserved: 12408.00 MB
Iteration 212: Allocated: 864.51 MB, Reserved: 12408.00 MB
