Using device: cuda
Start training with 21576776 number of parameters
Iteration 156: Allocated: 783.80 MB, Reserved: 11626.00 MB
Iteration 157: Allocated: 828.62 MB, Reserved: 11626.00 MB
Iteration 158: Allocated: 765.50 MB, Reserved: 11626.00 MB
Iteration 159: Allocated: 827.31 MB, Reserved: 11626.00 MB
Iteration 160: Allocated: 788.81 MB, Reserved: 11626.00 MB
Iteration 161: Allocated: 828.22 MB, Reserved: 11626.00 MB
Iteration 162: Allocated: 805.99 MB, Reserved: 11626.00 MB
Iteration 163: Allocated: 801.25 MB, Reserved: 11626.00 MB
Iteration 164: Allocated: 792.49 MB, Reserved: 11626.00 MB
Iteration 165: Allocated: 778.57 MB, Reserved: 11626.00 MB
Iteration 166: Allocated: 813.54 MB, Reserved: 11626.00 MB
Iteration 167: Allocated: 816.62 MB, Reserved: 11626.00 MB
Iteration 168: Allocated: 796.34 MB, Reserved: 11626.00 MB
Iteration 169: Allocated: 772.55 MB, Reserved: 11626.00 MB
Iteration 170: Allocated: 821.88 MB, Reserved: 11626.00 MB
Iteration 171: Allocated: 788.51 MB, Reserved: 11626.00 MB
Iteration 172: Allocated: 790.29 MB, Reserved: 11626.00 MB
Iteration 173: Allocated: 777.72 MB, Reserved: 11626.00 MB
Iteration 174: Allocated: 817.27 MB, Reserved: 11626.00 MB
Iteration 175: Allocated: 778.67 MB, Reserved: 11626.00 MB
Iteration 176: Allocated: 767.50 MB, Reserved: 11626.00 MB
Iteration 177: Allocated: 826.48 MB, Reserved: 11626.00 MB
Iteration 178: Allocated: 799.65 MB, Reserved: 11626.00 MB
Iteration 179: Allocated: 759.92 MB, Reserved: 11626.00 MB
Iteration 180: Allocated: 761.88 MB, Reserved: 11626.00 MB
Iteration 181: Allocated: 819.98 MB, Reserved: 11626.00 MB
Iteration 182: Allocated: 804.31 MB, Reserved: 11626.00 MB
Iteration 183: Allocated: 797.66 MB, Reserved: 11626.00 MB
Iteration 184: Allocated: 787.60 MB, Reserved: 11626.00 MB
Iteration 185: Allocated: 766.37 MB, Reserved: 11626.00 MB
Iteration 186: Allocated: 813.72 MB, Reserved: 11626.00 MB
Iteration 187: Allocated: 796.57 MB, Reserved: 11626.00 MB
Iteration 188: Allocated: 674.18 MB, Reserved: 11626.00 MB
Iteration 189: Allocated: 779.03 MB, Reserved: 11626.00 MB
Iteration 190: Allocated: 836.21 MB, Reserved: 11626.00 MB
Iteration 191: Allocated: 815.33 MB, Reserved: 11626.00 MB
Iteration 192: Allocated: 820.22 MB, Reserved: 11626.00 MB
Iteration 193: Allocated: 777.10 MB, Reserved: 11626.00 MB
Iteration 194: Allocated: 809.91 MB, Reserved: 11626.00 MB
Iteration 195: Allocated: 810.03 MB, Reserved: 11626.00 MB
Iteration 196: Allocated: 787.51 MB, Reserved: 11626.00 MB
Iteration 197: Allocated: 840.73 MB, Reserved: 11626.00 MB
Iteration 198: Allocated: 825.13 MB, Reserved: 11626.00 MB
Iteration 199: Allocated: 815.67 MB, Reserved: 11626.00 MB
Iteration 200: Allocated: 798.52 MB, Reserved: 11626.00 MB
Iteration 201: Allocated: 746.40 MB, Reserved: 11626.00 MB
Iteration 202: Allocated: 766.41 MB, Reserved: 11626.00 MB
Iteration 203: Allocated: 818.87 MB, Reserved: 11626.00 MB
Iteration 204: Allocated: 771.19 MB, Reserved: 11626.00 MB
Iteration 205: Allocated: 787.20 MB, Reserved: 11626.00 MB
Iteration 206: Allocated: 767.68 MB, Reserved: 11626.00 MB
Iteration 207: Allocated: 716.68 MB, Reserved: 11626.00 MB
Iteration 208: Allocated: 796.37 MB, Reserved: 11626.00 MB
Iteration 209: Allocated: 778.21 MB, Reserved: 11626.00 MB
Iteration 210: Allocated: 827.65 MB, Reserved: 11626.00 MB
Iteration 211: Allocated: 801.36 MB, Reserved: 11626.00 MB
Iteration 212: Allocated: 835.63 MB, Reserved: 11626.00 MB
