Using device: cuda
Start training with 22849352 number of parameters
Iteration 126: Allocated: 587.88 MB, Reserved: 11046.00 MB
Iteration 127: Allocated: 606.49 MB, Reserved: 11046.00 MB
Iteration 128: Allocated: 557.54 MB, Reserved: 11046.00 MB
Iteration 129: Allocated: 598.17 MB, Reserved: 11046.00 MB
Iteration 130: Allocated: 616.61 MB, Reserved: 11046.00 MB
Iteration 131: Allocated: 664.14 MB, Reserved: 11046.00 MB
Iteration 132: Allocated: 612.99 MB, Reserved: 11046.00 MB
Iteration 133: Allocated: 601.66 MB, Reserved: 11046.00 MB
Iteration 134: Allocated: 594.06 MB, Reserved: 11046.00 MB
Iteration 135: Allocated: 627.90 MB, Reserved: 11046.00 MB
Iteration 136: Allocated: 641.20 MB, Reserved: 11046.00 MB
Iteration 137: Allocated: 626.15 MB, Reserved: 11046.00 MB
Iteration 138: Allocated: 619.13 MB, Reserved: 11046.00 MB
Iteration 139: Allocated: 569.73 MB, Reserved: 11046.00 MB
Iteration 140: Allocated: 554.40 MB, Reserved: 11046.00 MB
Iteration 141: Allocated: 584.68 MB, Reserved: 11046.00 MB
Iteration 142: Allocated: 605.48 MB, Reserved: 11046.00 MB
Iteration 143: Allocated: 663.48 MB, Reserved: 11046.00 MB
Iteration 144: Allocated: 628.30 MB, Reserved: 11046.00 MB
Iteration 145: Allocated: 598.94 MB, Reserved: 11046.00 MB
Iteration 146: Allocated: 631.45 MB, Reserved: 11046.00 MB
Iteration 147: Allocated: 558.09 MB, Reserved: 11046.00 MB
Iteration 148: Allocated: 607.20 MB, Reserved: 11046.00 MB
Iteration 149: Allocated: 603.55 MB, Reserved: 11046.00 MB
Iteration 150: Allocated: 591.44 MB, Reserved: 11046.00 MB
Iteration 151: Allocated: 595.51 MB, Reserved: 11046.00 MB
Iteration 152: Allocated: 658.55 MB, Reserved: 11046.00 MB
Iteration 153: Allocated: 643.44 MB, Reserved: 11046.00 MB
Iteration 154: Allocated: 593.73 MB, Reserved: 11046.00 MB
